example_id,batch,split,text,annotator1_t1_label,annotator2_t1_label,annotator3_t1_label,annotator1_t2_label,annotator2_t2_label,annotator3_t2_label,label
191,part3,train,"i've been skeptical of both sides. but was leaning more towards the palestinian side as i recall hearing about several young people on the birthright israel state funded trip chose to leave it in favor of supporting local palestinians and seeking the truth of occupied palestine, not israeli propaganda. and definitely not extremist propaganda","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,1,1,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
192,part3,train,"Why is Isreal in the wrong because hamas is inept? This isn't a video game, Isreal is under no obligation to ensure an even fight. The Arabs certainly didn't do that when they all ganged up on them in 1948.
Germany lost ww2, East Prussia doesn't exist anymore. It's Kaliningrad now. When you lose wars, you lose territory, and Palestine does a lot of losing.

","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",4,4,2,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
193,part3,train,"""The general population is complicit"" is idiotic.
50% of the population is children and couldn't
vote out Hamas even if they wanted to. Also,
Hamas is clearly a terrorist militia backed by
Iran and the civilians who are currently unable
to take up arms due to occupation by Israel
cannot oust them without weapons or military
backing of their own.

They also haven't had elections in 15 years, so
they wouldn't be able to do anything
democratically. If anything, Israel has a duty to
make sure that Hamas is driven out of Palestine
and there needs to be establishment of a
government separate from neighboring
interference. Hamas victimized the entirety of
the Palestinian population with this insane
attack. The civilians do not deserve reprimand
when they're under terror from an authoritative
government that they cannot remove.","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",3,3,3,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
194,part3,train,"There�s an expression which is the definition of madness is to do the same thing over and over again and expect different results. 

Israel has spent nearly 80 years taking land in (perceived) retaliation to outside attacks, then handed them back as a means to bargain for peace 

Look at 2005 in Gaza or the deals with Egypt etc 

Jordan didn�t want the West Bank back, so Israel kept it. 

The question is, if for 80 years they�ve had a strategy of (at least pretending) to try and find a two state solution, and every time it�s led to more attacks and more death, why would they continue it now when it clearly isn�t working?","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",4,5,4,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
195,part3,train,"I'll put this to you in a way that is pretty simple. It doesn't matter, it doesn't matter if Israel didn't do it. They will still be seen as the perpatrators. People have learned that once the propaganda is out there the people decide who's at fault, not fact. It does not matter anymore. Much like it didn't in the 30's-40's it doesn't matter. The world wants vengeance and what will happen is Israel will continue to be at fault regardless of the land. Their deaths don't matter. The way the world works at this point is. The news is disseminated then people read it, cherry pick their parts and they decide who did what. The news could honestly be like the Chief Rabbi was assasinated by Hamas. Which would either be celebrated, or would be accused of being an inside job.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",4,1,2,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
196,part3,train,"Oh. You have to look at what Israel has done since then. They have dropped over 6000
bombs in 6 days. They gave 1 million people 24 hours to evacuate then they've been bombing them as they evacuate. Their government has called Gazans ""animals"" and used other genocidal language to justify their insanely disproportional response. It's looking a lot like a genocide. Oh, they also announced they were cutting off water, food and power for them all too. So you have 1.1 million people made homeless in a week, and they're just on their feet with no food or water, dodging drone bombs.
There is no moral justification for this.","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",5,4,5,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
197,part3,train,"On social media, it is difficult to reach the truth. |
am sure that Israel is unjust and impure and kills
all children without mercy. Today there are no

more animals in Gaza and no one is happy there.","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1,2,2,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
198,part3,train,On October 7th who invaded who and did they invade occupied territory or did they invade Sovereign kibuts of individuals and deliberately Target their civilians because they were Jews.,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",3,1,3,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
199,part3,train,"In 1964, the Palestinians established the PLO, or the Palestinian Liberation Organization. 
Now, this is interesting. 
1964 is three years before the Six-Day War, so before Israel occupied the 
West Bank and the Gaza Strip, and before a single settlement was built, 
they were already calling for the destruction of Israel. 
When the Arabs say ""free Palestine"", 
they don't mean ""we want an independent Palestinian 
state next to Israel."" 
What they want is a Palestinian state that replaces Israel.","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",5,5,5,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
200,part3,train,"No idea about # of deaths, but I could see a ton of people standing in front of that place due to them sheltering from the rocket barrage that had just left Gaza aimed at Israel. The civilian deaths are disgusting, the blame is 100% on Hamas. Then they used the dead civilians to parade around for propaganda.

Hamas = ISIS","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,4,5,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
201,part3,train,"From the Israeli perspective, at each and every turn when they put their hand out for peace, they were only met with rejection and violence. It's Palestinian rejection that lead to the anti-peace right gaining popularity in Israel. Palestinians continuously showed for over a decade that they are unwilling to negotiate a lasting peace and will keep leaning towards violence instead of agreements, and Israelis felt like they had enough. Why should they keep making offers and reach out of each time they're only met with more violence? Instead, they'd rather just highten their security and make sure that this violence can be contained.","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",5,5,5,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
202,part3,train,Israel is not worried about Palestine in the past Israel was worried about the united front of Egypt Jordan Syria and Lebanon going to war with it over and over and over again in 48 in uh in in 56 in 67 and in 73 and then after that now the worry is Iran is pursuing nuclear weapons now the worry is Iran and tury turkey and Qatar are funing extremists in the Gaza Strip that are doing terrorist attacks now the worry is what kind of weapons are Hezbollah and the houthis going to get as they hijack ships and launch missiles in so yeah I mean I agree that Israel is not under the same threat that it was in the past but to pretend like there's no threat today or it's literally just Israel versus the Palestinians what do you think Palestinians get their weapons from they don't have manufacturing plants in the Gaza Strip for AK-47s as much as they might like to divert funds to it,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",5,5,5,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
203,part3,train,Lies. Israel has never done anything remotely close to this scale of cruelty. When has idf invaded a music festival in Gaza? When did they kidnap people and parade their dead bodies through Israel�s cities for people to scream in bloodlust and joy and spit on the corpse and film and upload it? When did idf kidnap a child and behead them on video screaming Allah akbar and filming and uploading it and clearly enjoying it? Answer to all those questions is: Never.,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5,4,5,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
204,part3,train,"The Palestinians kept rejecting all offers made to them from 
1947 till 2008, when Ehud Olmert, the Israeli Prime Minister, 
offered the Palestinian all the West Bank 
and East Jerusalem as their capital. 
They said ""no"" to every offer that was made to them, invested all the money 
they received from the world in terror, and then cried that they were the victims","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",4,5,4,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
205,part3,train,"This is kind of wrong. In Israel and the West Bank, as well as in other countries, there are planning laws that forbid a person to build whatever they want to build. The West Bank is divided into several types of areas: A, B, C. The most important in this regard are the C areas, which are fully under Israeli control, although thousands of Palestinians live there in various villages and towns. Both them and settlers aren't allowed to build whatever they want, without being planned thoroughly before. Both groups do build without permits, however. Not many permits are ever given, which is a problem for people whose families grow. The alleged difference (you can read more about it in various news outlets) is that settlers get permits retroactively even when they weren't allowed to build, whereas some Palestinians get their houses ruined.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,1,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
206,part3,train,"thousands of Palestinians including hundreds of minors and children are being held hostage by Israel without any 
charge with well documentation of abuses including sexual abuse which Israel's own human rights organizations have 
reported","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,5,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
207,part3,train,"There's like 50 Arab countries, why can't we have one Jewish country? That's what they would and Hamas has shown an intent and been very vocal about their intent to scour Palestine, what they see as Palestine, and traditionally Arabic land of Jewish people, so they would have every reason to fear that.","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",3,4,4,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
208,part3,train,"after 1948 the Arabs had the chance to negotiate and make peace with Israel 
apart from the fact that in 1956 Israel invaded the seni in Egypt unprovoked 
purely due to the fact that President Nasser nationalized the Suz Canal","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,1,2,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
209,part3,train,"In the Muslim world, it is very different. When Arabs kill Jews 
at a music festival, or Christians in a school in Nigeria, 
or one another in Syria, Yemen, Libya. What is it they shout? 
""Allahu Akbar!"" ""God Is Great!"" 
""Jihad"" is a religious war against the infidels.","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",5,5,3,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
210,part3,train,"I have family in Israel, i pray they stay safe. But I've said this would happen for years. Our people have forced occupation and oppression on these people, treated them as subhuman, and continue to force ourselves upon them by building more homes. It's why my father never accepted the offer to move there. As he said, there will be no peace at home for us in a place where we are not welcome","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1,1,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
211,exploration,validation,They should give back the hostages unconditionally ... what does that mean practically ... if they don't get back all 250 hostages that he has a right to kill every Palestinian,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",3,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
212,exploration,validation,"You're very biased and hypocrites!! Hamas is the
byproduct of 80years of occupation and
genocide, Israel is responsible for this atrocities
don't come here blaming Palestinians and why
they support Hamas,bc Hamas is all they have to
fight with occupation force, calling them
terrorists will not change the truth even Mandela
was once called a terrorist by the colonial
imperialists! Gtfo","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",2,2,3,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]"
213,exploration,validation,"Then stop going to war!

Every attempt at protecting your country would
be described as a sign of war. And you wanna
know why?

Because in war, PEOPLE DIE!

There are no winners at war, just sacrifices. And
for what?

A piece of dirt we call The Holy Land???
What's so ""holy"" about it?
For 2000 years we saw each other as enemies.

No matter what each side does to protect itself,
the media will always take chances at making
more controversies.

For both sides!

WHAT EXCUSE DO WE HAVE OTHER THAN
FACTS?!","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",3,2,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
214,exploration,validation,"What’s crazy (and, arguably, anti-Semitic) is that ‘Zionism’ is even positioned as being up for a ‘debate’, with an ‘anti’ or ‘pro’ side. Because… it already happened! The zionists of the late 19th century and early 20th century did it! They achieved their goal; Israel - a Jewish homeland - now exists. To be ‘anti-that’ is as ludicrous as being ‘anti-any historical event’. And if that’s seen as ludicrous….? Well… understandably, Jews can’t help but wonder “why is this Jewish country the only country in the world with a debate about its existence and a word specifically for wanting its destruction? Seems kinda… I dunno… anti-Semitic?”","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,4,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
215,exploration,validation,"Thirdly, the people of Palestine could just give the Hamas up to Israel to stop this police operation, could they not?

It's the same logic as with Russia. Not only Putin is responsible for the invasion of Ukraine. Every russki is responsible because they elected their government and they did nothing when they started a war. People deserve what their leaders wrought upon them. They should either not allow them commiting crimes and atrocities, bring them to justice when they do or suffer the consequences. So not only Hamas is responsible for the 10/7 - it's every Gazan. Because they elected Hamas and did nothing to give perpetrators and their leaders up when they committed their crimes.

As long as people of Palestine support terrorists and until the Hamas is completely dismantled, Israeli operation is justified.","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,5,2,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
216,exploration,validation,"Hisbollah and Hamas will be completely wiped
from this earth. That attack was annother example
how dangerous radical islamists are. The
summary of that is a complete new age crusade
versus these crazy people.

And its there own fault, goodbye Gaza, goodbye
Lebanon and soon goodbye Iran. These countrys
will face gates of hell soon.","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",2,1,1,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
217,evaluation,validation,Israel acts like the Yeshuv in '46 and like they still have an existential threat on all sides and they probably need to not act like that anymore,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
218,evaluation,validation,"This war is NOT genocide, but the current administration (Netanyahu, Smotrich, Ben-Gvir) repeatedly express genocidal ideology.

I believe Israel has the right to wage the current war. I do not believe Netanyahu and his cronies should be the ones leading it. I can see a world in which Netanyahu doesn’t want it to end because it’s the only thing keeping him in office and out of jail. 0 faith in that guy to do the right thing.","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,2,1,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
219,evaluation,validation,"It's a genocide according to UN conventions. Genocide is not just wiping out an entire group of people, it's displacement, destruction of cultural artefacts, destroying the futures of a group of people, crimes against humanity, and of course mass killings, which Israel is taking part in. It,s not a genocide of the same scale of the holocaust at all, but it is a modern genocide of today, much more infuriating is that it is being commited by a country that is officially an ally of ours","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,3,1,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
220,evaluation,validation,"If Hiroshima and Nagasaki wasn't genocidal, then this isn't either._x000D_
_x000D_
I will say that comments made by Israeli govt officials are incredibly damning, but genocide is a serious accusation. Something tells me that these accusations of genocide would be coming from the left regardless of what netanyahu and Ben gvir said.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,2,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
221,evaluation,validation,"If this is genocide, then the Israelis are pathetic at it. They warn civilians to stay away from certain areas. Texting civilians.

To compare Gaza now to the Holocaust is to declare that one is not up on history....now if the Nazis warned the Jews to NOT show up at the railroad station to be transported to Auschwitz, then perhaps it would be the same.



","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",4,1,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
222,evaluation,validation,"False. Israel captured the West Bank from Jordan and Gaza from Egypt following the attempted war of extermination that the Arabs launched against Israel in 1967. Israel offered to return the territories immediately after the war in exchange for peace - the Arabs refused. What do you mean ""against their wishes""? The Palestinians keep claiming that they want the West Bank and Gaza for their state. Where do you think the Palestinians want to live?_x000D_","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",3,1,4,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
223,evaluation,validation,"UNRWA's head said they fired people to give the appearance of propriety, effectively saying they did the reverse of ""innocent until proven guilty"" to keep the operation going","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
224,evaluation,validation,"What foreign body did the Jews who settled in this territory do so on behalf of?_x000D_
_x000D_
The central premise of a colonial project is that the colony is established by and for some parent state or empire (whether exploiting or replacing)._x000D_
_x000D_
This is not the case with Israel. Applying the term colonial is incoherent in this case and is an example of ethnocentrically projecting a western frame onto a scenario in which it simply does not apply._x000D_
_x000D_
Reasonable people can disagree about the ethics of the establishment of Israel regardless of this question. But defining it as colonial is false.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,3,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
225,part3,validation,"The easiest counter to this is the fact that Netanyahu has been criticised by multiple reputable sources, including several Israeli.officials, of propping up Hamas for over a decade in order to weaken the Palestinian Authority and sabotage a two-state solution. Israel under Netanyahu also allowed suitcases of Qatari money to be given to Hamas in exchange for maintaining the ceasefire. These policies were called out in an editorial published one day after the October 7 attacks in The Times of Israel
, an Israeli online newspaper. The editorial referred to Israel's policies for dealing with Hamas as ""blowing up in our faces"".

Netanyahu has always denied propping up Hamas, but has been reported as saying at a Likud party conference in 2019: ""Anyone who wants to prevent the establishment of a Palestinian state needs to support strengthening Hamas"".

As far back as 2009, Avner Cohen, a former Israeli religious affairs official who worked in Gaza for more than two decades, told the Wall Street Journal, �Hamas, to my great regret, is Israel�s creation.�

While there's no conclusive proof that Israel has been propping up Hamas, and possibly never will be, the volume of accusations from credible sources suggests that this is the case. And in that case, I would suggest that the responsibility for Hamas' actions, particularly anything requiring funding such as a large-scale terror attack, ultimately lies with Netanyahu and the Israeli government.

References / further reading

https://www.timesofisrael.com/ny-times-israel-uncovered-vast-hamas-financial-network-in-2018-took-no-action/

https://www.politico.eu/article/israel-funded-hamas-claims-eu-top-diplomat-josep-borrell/

https://www.nytimes.com/2023/12/10/world/middleeast/israel-qatar-money-prop-up-hamas.html

https://theintercept.com/2018/02/19/hamas-israel-palestine-conflict/
","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1,3,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
226,part3,validation,"I still support Palestinian�s independence. You can do that even while being pro-Israel right now. It won�t happen within the next week. But maybe in 10 years or so the world may recognize a growing independence with Palestinians. That would mean no terrorists governing them, the ability to get their own water, food, electricity, internet whatever it is they want that�s peaceful and supporting their independence. All that will take time.

Hamas needs to be destroyed first. Then the baby steps into the 21st century as an independent people can begin to happen. I bet they�ll get a lot of support too.

If they actually begin to behave as if they want this it may take way less than 10 years. That�s their choice.","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",3,5,3,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
227,part3,validation,"The Palestinian people are backwards they spend hundreds of millions of dollars on tunnels and illegal weapons and drugs they were oppressive religious system and don't treat people fairly ..women, homosexuals or pretty much any other culture.

The video show the people cheering when the hostages show up crying and celebrating watching the rockets plenty of Palestinians came in with the raid. The spokesman for the UN and everybody that talks with them in any type of newscast never condemns Hamas caused them freedom fighters.. they're all in on it that's their government those are their soldiers and their civilians will pay the price that's the way it is... They can do no wrong and everybody else is committing crimes..","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",3,4,3,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
228,part3,validation,You've seen memes of the conflict and you think that's like a strong argument for oh the Israeli border expansions happened because of this like four picture meme I saw online without understanding how any of it works or what's going on,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
229,part3,validation,"Some say that the Partition Plan wasn't fair, as the Jews made up one third 
of the population, but got two thirds of the land. 
To that I will say this: 
The Arabs actually also got what is now known as Jordan. So in fact, the Jews got a much smaller part. 
And I should also add that the Arabs got all the good land and the Jews got the swampland and the desert land","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",5,5,4,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
230,part3,validation,"If Hamas were to completely surrender and leave, Israel would just continue to bomb like random apartments or... I don't know, I think we both know that that's a ridiculous hypothetical but let's say it did happen, maybe they would stop","[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,2,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
231,part3,validation,"Actually, Israel attacked first. It is commonly claimed that it was a preemptive strike in the face of a planned Arab invasion, but that's not what the Israeli military and political leaders said:
""I do not think Nasser wanted war. The two divisions he sent to The Sinai would not have been sufficient to launch an offensive war. He knew it and we knew it."" Yitzhak Rabin interview published in Le Monde February 28, 1968.
�The entire story of the danger of extermination was invented in every detail and exaggerated a posteriori to justify the annexation of new Arab territory.� Mordecai Bentov interview with Israeli newspaper Al-Hamishmar, April 14, 1971.
""We were not threatened with genocide on the eve of the Six Days War, and we had never thought of such a possibility.� Haim Bar-Lev interview with Israeli newspaper Ma�ariv, April 4, 1972.
""There was never any danger of annihilation. This hypothesis has never been considered in any serious meeting."" Ezer Weizmann, same interview.
""The former Commander of the Air Force, General Ezer Weitzman, regarded as a hawk, stated that there was 'no threat of destruction' but that the attack on Egypt, Jordan and Syria was nevertheless justified so that Israel could 'exist according the scale, spirit, and quality she now embodies.' The Fateful Triangle by Noam Chomsky.
�The thesis according to which the danger of genocide hung over us in June 1967, and according to which Israel was fighting for her very physical survival, was nothing but a bluff which was born and bred after the war.� Mattityahu Peled, Spring of 1972.
�Israel was never in real danger and there was no evidence that Egypt had any intention of attacking Israel.� .... �Israeli intelligence knew that Egypt was not prepared for war.� Mattityahu Peled, radio programme.
�There was no danger of annihilation. Neither Israeli headquarters nor the Pentagon � as the memoirs of President Johnson proved � believed in this danger.� Chaim Herzog, same programme.
�All those stories about the huge danger we were facing because of our small territorial size, an argument expounded once the war was over, have never been considered in our calculations. While we proceeded towards the full mobilisation of our forces, no person in his right mind could believe that all this force was necessary to our �defence� against the Egyptian threat. This force was to crush once and for all the Egyptians at the military level and their Soviet masters at the political level. To pretend that the Egyptian forces concentrated on our borders were capable of threatening Israel�s existence does not only insult the intelligence of any person capable of analysing this kind of situation, but is primarily an insult to the Israeli army.� Mattityahu Peled, Le Monde, June 3rd, 1972.
""The kibbutzim saw the good agricultural land ... and they dreamed about it... They didn't even try to hide their greed for the land..."" Moshe Dayan conversation with Israeli journalist Rami Tal, 1976.
""I know how at least 80 percent of the clashes there started. In my opinion, more than 80 percent, but let's talk about 80 percent. It went this way: We would send a tractor to plow some area where it wasn't possible to do anything, in the demilitarized area, and knew in advance that the Syrians would start to shoot. If they didn't shoot, we would tell the tractor to advance farther, until in the end the Syrians would get annoyed and shoot. And then we would use artillery and later the air force also, and that's how it was.'' Moshe Dayan, same conversation.
�I made a mistake in allowing the Israel conquest of the Golan Heights. As defense minister I should have stopped it because the Syrians were not threatening us at the time [fourth day of the war].� Moshe Dayan, same conversation.
�In June 1967 we again had a choice. The Egyptian army concentrations in the Sinai approaches do not prove that Nasser was really about to attack us. We must be honest with ourselves. We decided to attack him.� Menecham Begin, 1982.Helpful website: http://www.ifamericansknew.org/
","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",4,3,2,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
